id,person,date,salary,raise_type
1645,480,27/06/2022,"R$ 1.867,00",initial
1641,476,09/05/2022,"R$ 11.913,06",initial
1644,479,25/04/2022,"R$ 3.734,00",initial
1642,477,18/04/2022,"R$ 1.680,30",initial
1643,478,04/04/2022,"R$ 1.680,30",initial
1646,481,17/03/2022,"R$ 1.867,00",initial
791,139,01/03/2022,"R$ 13.126,04",initial
448,86,21/02/2022,"R$ 2.917,19",initial
757,135,21/02/2022,"R$ 2.333,75",initial
538,101,17/01/2022,"R$ 4.860,00",raise
756,133,04/01/2022,"R$ 19.100,00",initial
463,89,04/01/2022,"R$ 602,42",raise
1608,328,03/01/2022,"R$ 5.475,00",initial
686,120,22/11/2021,"R$ 5.852,09",initial
600,113,26/10/2021,"R$ 1.676,55",initial
521,99,18/10/2021,"R$ 3.508,38",initial
429,83,13/10/2021,"R$ 4.636,14",initial
733,128,13/10/2021,"R$ 3.508,38",initial
732,127,27/09/2021,"R$ 2.995,72",initial
428,82,27/09/2021,"R$ 1.858,82",initial
599,112,09/09/2021,"R$ 1.457,87",raise
464,90,08/09/2021,"R$ 2.894,41",initial
1547,311,23/08/2021,"R$ 1.858,82",initial
548,105,23/08/2021,"R$ 1.676,55",initial
540,103,23/08/2021,"R$ 1.457,87",initial
582,108,01/08/2021,"R$ 12.467,24",raise
1628,334,01/08/2021,"R$ 11.376,13",raise
790,138,01/08/2021,"R$ 10.314,87",raise
479,91,01/08/2021,"R$ 9.267,26",raise
442,84,01/08/2021,"R$ 7.021,18",raise
519,97,01/08/2021,"R$ 7.021,18",raise
709,122,01/08/2021,"R$ 7.021,18",raise
427,81,01/08/2021,"R$ 5.654,19",raise
685,119,01/08/2021,"R$ 5.654,19",raise
648,117,01/08/2021,"R$ 5.462,99",raise
722,123,01/08/2021,"R$ 5.462,99",raise
1283,248,01/08/2021,"R$ 4.479,37",raise
596,111,01/08/2021,"R$ 4.327,89",raise
610,114,01/08/2021,"R$ 4.327,89",raise
696,121,01/08/2021,"R$ 4.327,89",raise
1291,250,01/08/2021,"R$ 4.327,89",raise
460,88,01/08/2021,"R$ 4.025,94",raise
528,100,01/08/2021,"R$ 4.025,94",raise
802,140,01/08/2021,"R$ 4.025,94",raise
555,106,01/08/2021,"R$ 3.889,80",raise
564,107,01/08/2021,"R$ 3.508,38",raise
752,131,01/08/2021,"R$ 3.508,38",raise
764,136,01/08/2021,"R$ 3.508,38",raise
482,92,01/08/2021,"R$ 2.894,41",raise
1546,310,01/08/2021,"R$ 2.894,41",raise
742,130,01/08/2021,"R$ 2.610,59",raise
493,95,01/08/2021,"R$ 2.373,27",raise
408,79,01/08/2021,"R$ 2.068,16",raise
449,87,26/07/2021,"R$ 1.676,55",initial
539,102,26/07/2021,"R$ 1.676,55",initial
805,141,14/07/2021,"R$ 4.327,89",raise
1458,287,11/07/2021,"R$ 3.508,38",initial
695,121,01/07/2021,"R$ 3.758,26",raise
731,126,01/07/2021,"R$ 1.923,87",raise
1442,279,07/06/2021,"R$ 2.373,27",initial
441,84,01/06/2021,"R$ 4.966,35",raise
765,137,28/05/2021,"R$ 2.373,27",initial
1311,258,24/05/2021,"R$ 2.140,55",initial
1326,260,14/05/2021,"R$ 4.966,35",initial
581,108,01/05/2021,"R$ 11.873,56",raise
668,118,01/05/2021,"R$ 10.790,57",raise
1276,247,01/05/2021,"R$ 10.762,50",raise
1627,334,01/05/2021,"R$ 10.762,50",raise
478,91,01/05/2021,"R$ 8.058,49",raise
789,138,01/05/2021,"R$ 8.058,49",raise
1560,314,01/05/2021,"R$ 7.522,69",raise
1246,240,01/05/2021,"R$ 6.145,86",raise
518,97,01/05/2021,"R$ 5.462,99",raise
708,122,01/05/2021,"R$ 5.462,99",raise
586,110,01/05/2021,"R$ 5.266,88",raise
426,81,01/05/2021,"R$ 4.798,41",raise
440,84,01/05/2021,"R$ 4.798,41",raise
684,119,01/05/2021,"R$ 4.798,41",raise
755,132,01/05/2021,"R$ 4.704,23",raise
721,123,01/05/2021,"R$ 4.636,14",raise
647,117,01/05/2021,"R$ 4.479,37",raise
1517,304,01/05/2021,"R$ 4.479,37",raise
537,101,01/05/2021,"R$ 4.034,00",raise
1330,261,01/05/2021,"R$ 3.946,91",raise
1282,248,01/05/2021,"R$ 3.895,10",raise
1574,315,01/05/2021,"R$ 3.763,38",raise
1297,253,01/05/2021,"R$ 3.758,26",raise
595,111,01/05/2021,"R$ 3.631,17",raise
694,121,01/05/2021,"R$ 3.631,17",raise
804,141,01/05/2021,"R$ 3.631,17",raise
1533,307,01/05/2021,"R$ 3.631,17",raise
459,88,01/05/2021,"R$ 3.508,38",raise
527,100,01/05/2021,"R$ 3.508,38",raise
554,106,01/05/2021,"R$ 3.508,38",raise
609,114,01/05/2021,"R$ 3.508,38",raise
801,140,01/05/2021,"R$ 3.508,38",raise
1290,250,01/05/2021,"R$ 3.508,38",raise
1604,325,01/05/2021,"R$ 3.508,38",raise
751,131,01/05/2021,"R$ 2.995,72",raise
728,125,01/05/2021,"R$ 2.894,41",raise
1271,245,01/05/2021,"R$ 2.894,41",raise
1605,326,01/05/2021,"R$ 2.894,41",initial
1545,310,01/05/2021,"R$ 2.796,53",initial
563,107,01/05/2021,"R$ 2.701,96",raise
481,92,01/05/2021,"R$ 2.610,59",raise
741,130,01/05/2021,"R$ 2.373,27",raise
763,136,01/05/2021,"R$ 2.293,01",raise
619,115,01/05/2021,"R$ 2.270,08",raise
547,104,01/05/2021,"R$ 2.140,55",raise
447,85,01/05/2021,"R$ 2.068,16",raise
486,94,01/05/2021,"R$ 2.068,16",raise
492,95,01/05/2021,"R$ 2.068,16",raise
723,124,01/05/2021,"R$ 2.068,16",initial
735,129,01/05/2021,"R$ 2.068,16",raise
1601,324,01/05/2021,"R$ 2.068,16",raise
484,93,01/05/2021,"R$ 2.063,71",raise
496,96,01/05/2021,"R$ 2.063,71",raise
1394,271,01/05/2021,"R$ 1.923,87",raise
1634,335,01/05/2021,"R$ 1.923,87",raise
407,79,01/05/2021,"R$ 1.795,96",raise
410,80,01/05/2021,"R$ 1.795,96",raise
730,126,01/05/2021,"R$ 1.735,22",raise
808,142,01/05/2021,"R$ 1.457,86",raise
462,89,01/05/2021,"R$ 602,42",raise
598,112,01/05/2021,"R$ 602,42",raise
409,80,19/04/2021,"R$ 1.710,44",initial
803,141,15/04/2021,"R$ 3.458,26",initial
1516,304,05/04/2021,"R$ 4.266,06",initial
1388,270,05/04/2021,"R$ 1.596,71",initial
1600,324,01/04/2021,"R$ 1.969,68",raise
406,79,01/04/2021,"R$ 1.710,44",raise
807,142,23/03/2021,"R$ 1.388,44",raise
485,94,15/03/2021,"R$ 1.969,68",initial
1296,253,08/03/2021,"R$ 3.579,30",initial
750,131,01/03/2021,"R$ 2.853,06",raise
1443,280,24/02/2021,"R$ 4.729,86",initial
1613,330,05/02/2021,"R$ 6.489,55",initial
754,132,01/02/2021,"R$ 4.480,22",raise
1603,325,01/02/2021,"R$ 2.894,96",raise
1596,323,13/01/2021,"R$ 2.038,62",initial
734,129,06/01/2021,"R$ 1.969,68",initial
1295,252,06/01/2021,"R$ 1.596,71",initial
1506,299,06/01/2021,"R$ 1.596,71",initial
520,98,05/01/2021,"R$ 35.000,00",initial
1607,327,01/01/2021,"R$ 13.850,00",raise
1624,333,01/01/2021,"R$ 7.164,46",raise
458,88,01/01/2021,"R$ 3.341,31",raise
491,95,01/12/2020,"R$ 1.710,44",raise
483,93,11/11/2020,"R$ 1.437,04",initial
405,79,03/11/2020,"R$ 1.596,71",initial
1515,303,13/10/2020,"R$ 1.596,71",initial
480,92,05/10/2020,"R$ 2.486,28",initial
667,118,01/10/2020,"R$ 7.707,55",raise
1623,333,01/10/2020,"R$ 5.970,39",raise
707,122,01/10/2020,"R$ 5.202,85",raise
585,110,01/10/2020,"R$ 5.016,08",raise
425,81,01/10/2020,"R$ 4.569,91",raise
439,84,01/10/2020,"R$ 4.569,91",raise
720,123,01/10/2020,"R$ 4.415,38",raise
526,100,01/10/2020,"R$ 3.341,31",raise
608,114,01/10/2020,"R$ 3.341,31",raise
800,140,01/10/2020,"R$ 3.341,31",raise
1289,250,01/10/2020,"R$ 3.341,31",raise
1532,307,01/10/2020,"R$ 3.341,31",raise
1281,248,01/10/2020,"R$ 3.334,12",raise
457,88,01/10/2020,"R$ 2.853,06",raise
536,101,01/10/2020,"R$ 2.853,06",raise
562,107,01/10/2020,"R$ 2.573,30",raise
762,136,01/10/2020,"R$ 2.183,82",raise
618,115,01/10/2020,"R$ 2.161,98",raise
546,104,01/10/2020,"R$ 2.038,62",raise
446,85,01/10/2020,"R$ 1.969,68",raise
1393,271,01/10/2020,"R$ 1.832,26",raise
1633,335,01/10/2020,"R$ 1.832,26",raise
1507,300,29/09/2020,"R$ 4.729,86",initial
1559,314,22/09/2020,"R$ 7.164,46",raise
753,132,17/09/2020,"R$ 4.415,38",initial
461,89,14/09/2020,"R$ 573,74",initial
597,112,08/09/2020,"R$ 573,74",initial
806,142,08/09/2020,"R$ 573,74",initial
1602,325,02/09/2020,"R$ 2.853,06",initial
1462,289,26/08/2020,"R$ 16.804,20",initial
799,140,01/08/2020,"R$ 2.756,58",raise
740,130,01/08/2020,"R$ 2.260,25",raise
1618,331,01/08/2020,"R$ 2.260,25",raise
545,104,01/08/2020,"R$ 1.969,68",raise
1474,292,08/07/2020,"R$ 39.440,66",raise
1558,314,24/06/2020,"R$ 6.000,00",initial
1606,327,08/06/2020,"R$ 13.000,00",initial
729,126,08/06/2020,"R$ 1.652,59",initial
1288,250,01/06/2020,"R$ 2.486,28",initial
1298,254,18/05/2020,"R$ 4.500,00",initial
637,116,01/05/2020,"R$ 16.000,96",raise
580,108,01/05/2020,"R$ 11.308,16",raise
1275,247,01/05/2020,"R$ 10.396,43",raise
1301,255,01/05/2020,"R$ 10.290,73",raise
1626,334,01/05/2020,"R$ 10.250,00",raise
477,91,01/05/2020,"R$ 7.674,75",raise
788,138,01/05/2020,"R$ 7.674,75",raise
666,118,01/05/2020,"R$ 7.446,91",raise
1245,240,01/05/2020,"R$ 5.853,20",raise
1501,296,01/05/2020,"R$ 5.277,14",raise
517,97,01/05/2020,"R$ 5.202,85",raise
1410,273,01/05/2020,"R$ 4.967,29",raise
683,119,01/05/2020,"R$ 4.569,91",raise
706,122,01/05/2020,"R$ 4.415,38",raise
438,84,01/05/2020,"R$ 4.266,06",raise
646,117,01/05/2020,"R$ 4.266,06",raise
1468,290,01/05/2020,"R$ 4.167,64",raise
1509,301,01/05/2020,"R$ 4.167,64",raise
424,81,01/05/2020,"R$ 4.121,80",raise
1505,298,01/05/2020,"R$ 3.890,54",raise
719,123,01/05/2020,"R$ 3.834,23",raise
1329,261,01/05/2020,"R$ 3.758,97",raise
1573,315,01/05/2020,"R$ 3.584,17",raise
594,111,01/05/2020,"R$ 3.458,26",raise
693,121,01/05/2020,"R$ 3.458,26",raise
553,106,01/05/2020,"R$ 3.341,31",raise
584,110,01/05/2020,"R$ 3.007,18",raise
1280,248,01/05/2020,"R$ 3.007,18",raise
1381,268,01/05/2020,"R$ 2.894,96",raise
525,100,01/05/2020,"R$ 2.853,06",raise
607,114,01/05/2020,"R$ 2.756,58",raise
727,125,01/05/2020,"R$ 2.756,58",raise
1531,307,01/05/2020,"R$ 2.756,58",raise
749,131,01/05/2020,"R$ 2.663,36",raise
535,101,01/05/2020,"R$ 2.573,30",raise
1270,245,01/05/2020,"R$ 2.573,30",raise
1294,251,01/05/2020,"R$ 2.573,30",raise
456,88,01/05/2020,"R$ 2.486,28",raise
798,140,01/05/2020,"R$ 2.486,28",raise
561,107,01/05/2020,"R$ 2.183,82",raise
1617,331,01/05/2020,"R$ 2.109,97",raise
739,130,01/05/2020,"R$ 2.038,62",raise
617,115,01/05/2020,"R$ 1.898,97",raise
445,85,01/05/2020,"R$ 1.832,26",raise
1599,324,01/05/2020,"R$ 1.832,26",raise
1632,335,01/05/2020,"R$ 1.770,30",raise
544,104,01/05/2020,"R$ 1.712,77",raise
1392,271,01/05/2020,"R$ 1.710,44",raise
761,136,01/05/2020,"R$ 1.652,59",raise
1457,286,01/05/2020,"R$ 1.652,59",raise
490,95,01/05/2020,"R$ 1.593,27",raise
495,96,01/05/2020,"R$ 1.487,34",raise
1293,251,14/04/2020,"R$ 2.510,54",raise
1622,333,18/03/2020,"R$ 4.569,91",initial
1625,334,16/03/2020,"R$ 10.000,00",initial
583,110,02/02/2020,"R$ 2.933,84",initial
1508,301,13/01/2020,"R$ 4.065,99",initial
1292,251,13/01/2020,"R$ 2.058,51",initial
579,108,01/01/2020,"R$ 11.032,35",raise
1500,296,01/01/2020,"R$ 5.148,43",raise
682,119,01/12/2019,"R$ 4.458,45",raise
593,111,01/12/2019,"R$ 3.373,91",raise
552,106,01/12/2019,"R$ 3.259,82",raise
534,101,01/12/2019,"R$ 2.510,54",raise
797,140,01/12/2019,"R$ 2.425,64",raise
1274,247,05/11/2019,"R$ 10.000,00",initial
1598,324,05/11/2019,"R$ 1.787,57",raise
1597,324,04/11/2019,"R$ 1.701,32",initial
1467,290,01/11/2019,"R$ 4.065,99",raise
606,114,01/11/2019,"R$ 2.689,35",raise
1530,307,01/11/2019,"R$ 2.689,35",raise
748,131,01/11/2019,"R$ 2.598,40",raise
1616,331,01/11/2019,"R$ 2.058,51",raise
1391,271,01/11/2019,"R$ 1.668,72",raise
444,85,22/10/2019,"R$ 1.787,57",raise
443,85,21/10/2019,"R$ 1.701,32",initial
516,97,01/10/2019,"R$ 5.075,95",raise
1409,273,01/10/2019,"R$ 4.846,14",raise
524,100,01/10/2019,"R$ 2.783,48",raise
760,136,01/10/2019,"R$ 1.612,29",raise
1456,286,01/10/2019,"R$ 1.612,29",raise
489,95,01/10/2019,"R$ 1.554,41",raise
1504,298,26/09/2019,"R$ 3.795,65",raise
1503,298,25/09/2019,"R$ 3.612,50",initial
1328,261,04/09/2019,"R$ 3.667,29",raise
1327,261,03/09/2019,"R$ 3.490,33",initial
1244,240,01/09/2019,"R$ 5.710,44",raise
726,125,01/09/2019,"R$ 2.689,35",raise
1269,245,01/09/2019,"R$ 2.510,54",raise
738,130,01/09/2019,"R$ 1.988,90",raise
1631,335,01/09/2019,"R$ 1.727,12",raise
437,84,01/08/2019,"R$ 4.162,01",raise
645,117,01/08/2019,"R$ 4.162,01",raise
692,121,01/08/2019,"R$ 3.373,91",raise
1279,248,01/08/2019,"R$ 2.933,84",raise
1380,268,01/08/2019,"R$ 2.824,35",raise
560,107,01/08/2019,"R$ 2.130,56",raise
1461,288,01/08/2019,"R$ 1.814,69",raise
1473,292,08/07/2019,"R$ 33.000,00",initial
494,96,04/07/2019,"R$ 1.451,06",initial
476,91,01/07/2019,"R$ 7.487,56",raise
705,122,01/07/2019,"R$ 4.307,68",raise
423,81,01/07/2019,"R$ 4.021,27",raise
1572,315,01/07/2019,"R$ 3.496,76",raise
1263,243,01/07/2019,"R$ 3.259,82",raise
551,106,01/07/2019,"R$ 2.783,48",raise
455,88,01/07/2019,"R$ 2.425,64",raise
543,104,01/07/2019,"R$ 1.670,99",raise
1300,255,11/06/2019,"R$ 10.039,74",raise
1299,255,10/06/2019,"R$ 9.559,84",initial
681,119,01/06/2019,"R$ 4.307,68",raise
592,111,01/06/2019,"R$ 3.259,82",raise
550,106,01/06/2019,"R$ 2.689,35",raise
1529,307,01/06/2019,"R$ 2.588,63",raise
533,101,01/06/2019,"R$ 2.205,13",raise
796,140,01/06/2019,"R$ 2.130,56",raise
616,115,01/06/2019,"R$ 1.852,66",raise
475,91,20/05/2019,"R$ 7.234,36",raise
1615,331,03/05/2019,"R$ 1.988,90",raise
1390,271,03/05/2019,"R$ 1.557,77",raise
578,108,02/05/2019,"R$ 7.880,25",raise
665,118,02/05/2019,"R$ 7.265,28",raise
1499,296,02/05/2019,"R$ 3.677,45",raise
605,114,02/05/2019,"R$ 2.510,54",raise
747,131,02/05/2019,"R$ 2.510,54",raise
1614,331,02/05/2019,"R$ 1.892,93",initial
1389,271,02/05/2019,"R$ 1.482,60",initial
636,116,01/05/2019,"R$ 15.610,69",raise
1541,308,01/05/2019,"R$ 8.718,33",raise
787,138,01/05/2019,"R$ 7.487,56",raise
664,118,01/05/2019,"R$ 6.914,70",raise
1377,267,01/05/2019,"R$ 6.552,86",raise
577,108,01/05/2019,"R$ 6.239,64",raise
1243,240,01/05/2019,"R$ 5.253,61",raise
474,91,01/05/2019,"R$ 5.075,95",raise
1408,273,01/05/2019,"R$ 4.682,26",raise
515,97,01/05/2019,"R$ 4.614,50",raise
680,119,01/05/2019,"R$ 4.162,01",raise
704,122,01/05/2019,"R$ 4.162,01",raise
436,84,01/05/2019,"R$ 4.021,27",raise
1466,290,01/05/2019,"R$ 3.928,50",raise
644,117,01/05/2019,"R$ 3.740,71",raise
718,123,01/05/2019,"R$ 3.740,71",raise
422,81,01/05/2019,"R$ 3.614,22",raise
691,121,01/05/2019,"R$ 3.259,82",raise
1571,315,01/05/2019,"R$ 3.252,80",raise
1262,243,01/05/2019,"R$ 2.783,48",raise
591,111,01/05/2019,"R$ 2.689,35",raise
1592,321,01/05/2019,"R$ 2.689,35",raise
523,100,01/05/2019,"R$ 2.598,40",raise
725,125,01/05/2019,"R$ 2.598,40",raise
1498,296,01/05/2019,"R$ 2.598,40",raise
1379,268,01/05/2019,"R$ 2.510,54",raise
1338,262,01/05/2019,"R$ 2.420,41",raise
604,114,01/05/2019,"R$ 2.389,39",raise
1583,318,01/05/2019,"R$ 2.315,82",raise
1278,248,01/05/2019,"R$ 2.259,48",raise
746,131,01/05/2019,"R$ 2.205,13",raise
1528,307,01/05/2019,"R$ 2.027,49",raise
454,88,01/05/2019,"R$ 1.988,90",raise
795,140,01/05/2019,"R$ 1.988,90",raise
532,101,01/05/2019,"R$ 1.921,64",raise
737,130,01/05/2019,"R$ 1.921,64",raise
1268,245,01/05/2019,"R$ 1.921,64",raise
1460,288,01/05/2019,"R$ 1.753,32",raise
1346,263,01/05/2019,"R$ 1.746,00",raise
615,115,01/05/2019,"R$ 1.729,48",raise
1589,320,01/05/2019,"R$ 1.727,12",raise
1630,335,01/05/2019,"R$ 1.668,72",raise
559,107,01/05/2019,"R$ 1.612,29",raise
759,136,01/05/2019,"R$ 1.557,77",raise
1248,241,01/05/2019,"R$ 1.557,77",raise
1455,286,01/05/2019,"R$ 1.557,77",raise
488,95,01/05/2019,"R$ 1.354,58",raise
542,104,01/05/2019,"R$ 1.354,58",raise
1453,285,01/05/2019,"R$ 677,29",raise
758,136,15/04/2019,"R$ 1.482,60",initial
1454,286,15/04/2019,"R$ 1.482,60",initial
487,95,03/04/2019,"R$ 1.289,22",initial
514,97,01/04/2019,"R$ 4.391,83",raise
522,100,01/04/2019,"R$ 2.473,02",initial
724,125,18/03/2019,"R$ 2.473,02",initial
736,130,11/03/2019,"R$ 1.828,91",initial
1629,335,06/03/2019,"R$ 1.588,20",initial
717,123,01/03/2019,"R$ 3.560,21",raise
690,121,01/03/2019,"R$ 3.102,52",raise
1267,245,01/03/2019,"R$ 1.828,91",raise
1277,248,28/02/2019,"R$ 2.150,45",initial
1459,288,18/02/2019,"R$ 1.668,72",initial
1378,268,04/02/2019,"R$ 2.389,39",initial
435,84,01/02/2019,"R$ 3.827,23",raise
643,117,01/02/2019,"R$ 3.560,21",raise
716,123,01/02/2019,"R$ 3.323,50",raise
558,107,01/02/2019,"R$ 1.534,49",raise
541,104,14/01/2019,"R$ 1.289,22",initial
1376,267,01/01/2019,"R$ 6.236,66",raise
576,108,01/01/2019,"R$ 5.938,55",raise
473,91,01/01/2019,"R$ 4.831,02",raise
703,122,01/01/2019,"R$ 3.961,18",raise
421,81,01/01/2019,"R$ 3.439,82",raise
1570,315,01/01/2019,"R$ 3.095,84",raise
453,88,01/01/2019,"R$ 1.892,93",raise
1588,320,17/12/2018,"R$ 1.643,78",initial
549,106,10/12/2018,"R$ 2.559,58",initial
1247,241,10/12/2018,"R$ 1.482,60",initial
679,119,01/12/2018,"R$ 3.961,18",raise
590,111,01/12/2018,"R$ 2.559,58",raise
1337,262,01/12/2018,"R$ 2.303,62",raise
1582,318,01/12/2018,"R$ 2.204,08",raise
794,140,01/12/2018,"R$ 1.892,93",raise
531,101,01/12/2018,"R$ 1.828,91",raise
614,115,01/12/2018,"R$ 1.646,02",raise
1527,307,28/11/2018,"R$ 1.929,66",initial
603,114,22/11/2018,"R$ 2.098,72",raise
1365,265,01/11/2018,"R$ 6.829,33",raise
1407,273,01/11/2018,"R$ 4.456,33",raise
1465,290,01/11/2018,"R$ 3.738,93",raise
745,131,01/11/2018,"R$ 2.098,72",raise
1345,263,01/11/2018,"R$ 1.661,75",raise
